#  Contiguous U.S. Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
197310,68.81
197311,53.01
197312,43.77
197401,40.69
197402,46.76
197403,55.9
197404,64.27
197405,72.86
197406,82.13
197407,87.46
197408,82.99
197409,75.34
197410,66.94
197411,52.93
197412,43.3
197501,42.87
197502,43.07
197503,49.5
197504,58.06
197505,72.9
197506,79.86
197507,86.09
197508,84.24
197509,75.74
197510,67.55
197511,54.18
197512,44.55
197601,41.45
197602,51.6
197603,54.39
197604,64.56
197605,72.23
197606,80.92
197607,85.82
197608,83.93
197609,77.16
197610,62.74
197611,50.58
197612,43.16
197701,33.66
197702,48.51
197703,54.97
197704,67.57
197705,74.08
197706,83.52
197707,87.46
197708,84
197709,77.76
197710,66.67
197711,53.37
197712,43.23
197801,34.84
197802,37.83
197803,52.7
197804,63.39
197805,71.83
197806,82.06
197807,86.88
197808,84.79
197809,78.24
197810,68.34
197811,51.82
197812,40.24
197901,31.26
197902,38.68
197903,53.06
197904,61.75
197905,71.44
197906,81.03
197907,85.73
197908,83.23
197909,79.79
197910,68.38
197911,50.81
197912,47.12
198001,40.37
198002,43.29
198003,50.4
198004,64.42
198005,72.72
198006,82.02
198007,89.49
198008,85.77
198009,79.09
198010,65.66
198011,53.62
198012,46.15
198101,43.54
198102,48.45
198103,54.64
198104,67.86
198105,71.06
198106,82.22
198107,86.5
198108,84.92
198109,78.04
198110,63.66
198111,56.23
198112,43.45
198201,37.33
198202,43.38
198203,52.81
198204,60.94
198205,73.13
198206,78.57
198207,85.59
198208,84.52
198209,76.01
198210,65.34
198211,51.17
198212,45.03
198301,42.35
198302,46.53
198303,52.03
198304,58.19
198305,70.5
198306,79.61
198307,86.94
198308,87.93
198309,78.69
198310,66.67
198311,52.75
198312,34.43
198401,38.97
198402,48.83
198403,50.99
198404,61.21
198405,72.95
198406,81.1
198407,86.05
198408,85.82
198409,75.99
198410,64.2
198411,52.25
198412,44.46
198501,36.43
198502,41.68
198503,54.91
198504,67.41
198505,75.15
198506,81.27
198507,87.31
198508,83.8
198509,74.48
198510,65.73
198511,48.79
198512,39.47
198601,46.04
198602,45.93
198603,58.57
198604,65.43
198605,73.69
198606,83.14
198607,86.05
198608,84.54
198609,74.57
198610,65.57
198611,51.33
198612,43.7
198701,41.52
198702,47.61
198703,53.87
198704,67.64
198705,75.34
198706,83.25
198707,85.8
198708,84.56
198709,78.67
198710,66.88
198711,54.79
198712,43.9
198801,38.14
198802,45.64
198803,54.91
198804,65.26
198805,74.93
198806,85.01
198807,88.16
198808,86.83
198809,77.58
198810,66.99
198811,54.05
198812,44.51
198901,45.14
198902,39.54
198903,54.45
198904,65.91
198905,73.15
198906,80.56
198907,86.99
198908,83.59
198909,76.91
198910,67.5
198911,54.81
198912,38.89
199001,47.16
199002,48.15
199003,56.1
199004,64.98
199005,70.88
199006,83.21
199007,85.71
199008,84.88
199009,80.33
199010,67.21
199011,56.88
199012,41.85
